"","x"
"640",150
"641",134
"642",134
"643",175
"644",150
"645",165
"646",250
"647",175
"648",175
"649",175
"650",150
"651",380
"652",380
"653",250
"654",175
"655",110
"656",150
"657",175
"658",175
"659",380
"660",150
"661",175
"662",110
"663",134
"664",210
"665",380
"666",175
"667",250
"668",135
"669",175
"670",250
"671",110
"672",330
"673",175
"674",175
"675",175
"676",210
"677",110
"678",170
"679",175
"680",165
"681",210
"682",150
"683",330
"684",165
"685",165
"686",110
"687",165
"688",175
"689",330
"690",175
"691",170
"692",110
"693",134
"694",270
"695",110
"696",175
"697",170
"698",150
"699",110
"700",270
"701",110
"702",330
"703",270
"704",330
"705",330
"706",134
"707",134
"708",175
"709",134
"710",380
"711",330
"712",170
"713",380
"714",150
"715",175
"716",250
"717",165
"718",150
"719",134
"720",134
"721",110
"722",110
"723",110
"724",175
"725",175
"726",165
"727",175
"728",270
"729",110
"730",150
"731",380
"732",134
"733",134
"734",165
"735",175
"736",110
"737",175
"738",150
"739",175
"740",150
"741",175
"742",134
"743",160
"744",110
"745",110
"746",175
"747",150
"748",210
"749",250
"750",165
"751",150
"752",165
"753",134
"754",150
"755",175
"756",380
"757",134
"758",150
"759",134
"760",134
"761",175
"762",250
"763",175
"764",134
"765",134
"766",175
"767",134
"768",110
"769",165
"770",134
"771",150
"772",170
"773",134
"774",150
"775",134
"776",134
"777",135
"778",150
"779",134
"780",165
"781",165
"782",110
"783",134
"784",165
"785",270
"786",175
"787",175
"788",150
"789",134
"790",165
"791",175
"792",165
"793",200
"794",175
"795",270
"796",165
"797",175
"798",170
"799",175
"800",150
"801",175
"802",150
"803",110
"804",70
"805",170
"806",175
"807",110
"808",134
"809",330
"810",134
"811",160
"812",190
"813",150
"814",170
"815",70
"816",150
"817",175
"818",175
"819",175
"820",110
"821",170
"822",175
"823",150
"824",330
"825",175
"826",270
"827",175
"828",175
"829",175
"830",210
"831",330
"832",175
"833",165
"834",165
"835",165
"836",150
"837",134
"838",175
"839",170
"840",175
"841",150
"842",165
"843",200
"844",175
"845",270
"846",150
"847",175
"848",170
"849",175
"850",134
"851",150
"852",170
"853",175
"854",175
"855",170
"856",380
"857",175
"858",150
"859",175
"860",150
"861",150
"862",175
"863",134
"864",210
"865",165
"866",175
"867",165
"868",160
"869",175
"870",150
"871",175
"872",170
"873",270
"874",175
"875",175
"876",170
"877",330
"878",175
"879",175
"880",150
"881",175
"882",165
"883",170
"884",170
"885",175
"886",175
"887",175
"888",175
"889",330
"890",190
"891",270
"892",210
"893",150
"894",134
"895",175
"896",180
"897",330
"898",150
"899",170
"900",150
"901",175
"902",110
"903",170
"904",330
"905",165
"906",134
"907",134
"908",330
"909",110
"910",134
"911",110
"912",134
"913",170
"914",330
"915",134
"916",134
"917",170
"918",150
"919",175
"920",270
"921",134
"922",170
"923",110
"924",110
"925",150
"926",134
"927",330
"928",330
"929",150
"930",110
"931",175
"932",135
"933",380
"934",330
"935",134
"936",134
"937",250
"938",250
"939",175
"940",110
"941",150
"942",175
"943",210
"944",170
"945",170
"946",175
"947",175
"948",150
"949",175
"950",110
"951",330
"952",150
"953",175
"954",175
"955",330
"956",134
"957",134
"958",110
"959",135
"960",150
"961",270
"962",175
"963",110
"964",170
"965",110
"966",134
"967",150
"968",150
"969",330
"970",110
"971",170
"972",150
"973",270
"974",110
"975",150
"976",170
"977",135
"978",270
"979",250
"980",170
"981",330
"982",175
"983",150
"984",150
"985",110
"986",270
"987",134
"988",380
"989",150
"990",135
"991",134
"992",134
"993",150
"994",175
"995",175
"996",330
"997",110
"998",175
"999",134
"1000",150
"1001",175
"1002",330
"1003",110
"1004",175
"1005",134
"1006",110
"1007",175
"1008",330
"1009",110
"1010",134
"1011",150
"1012",175
"1013",175
"1014",270
"1015",134
"1016",110
"1017",330
"1018",210
"1019",134
"1020",380
"1021",170
"1022",150
"1023",270
"1024",250
"1025",170
"1026",175
"1027",270
"1028",150
"1029",210
"1030",110
"1031",150
"1032",175
"1033",250
"1034",150
"1035",175
"1036",330
"1037",175
"1038",134
"1039",170
"1040",110
"1041",175
"1042",150
"1043",175
"1044",175
"1045",150
"1046",134
"1047",210
"1048",134
"1049",175
"1050",330
"1051",135
"1052",165
"1053",380
"1054",270
"1055",170
"1056",175
"1057",150
"1058",330
"1059",330
"1060",134
"1061",175
"1062",175
"1063",380
"1064",175
"1065",170
"1066",110
"1067",150
"1068",175
"1069",150
"1070",175
"1071",210
"1072",210
"1073",380
"1074",165
"1075",170
"1076",175
"1077",110
"1078",380
"1079",150
"1080",175
"1081",150
"1082",175
"1083",175
"1084",134
"1085",170
"1086",175
"1087",175
"1088",175
"1089",175
"1090",175
"1091",150
"1092",165
"1093",134
"1094",380
"1095",150
"1096",150
"1097",150
"1098",175
"1099",175
"1100",175
"1101",135
"1102",134
"1103",175
"1104",150
"1105",175
"1106",170
"1107",134
"1108",110
"1109",175
"1110",170
"1111",270
"1112",134
"1113",165
"1114",150
"1115",380
"1116",110
"1117",134
"1118",175
"1119",150
"1120",175
"1121",110
"1122",330
"1123",110
"1124",150
"1125",165
"1126",135
"1127",170
"1128",150
"1129",150
"1130",175
"1131",175
"1132",175
"1133",175
"1134",270
"1135",175
"1136",134
"1137",330
"1138",170
"1139",150
"1140",150
"1141",175
"1142",175
"1143",175
"1144",175
"1145",175
"1146",210
"1147",250
"1148",134
"1149",170
"1150",150
"1151",175
"1152",170
"1153",175
"1154",175
"1155",200
"1156",165
"1157",175
"1158",110
"1159",110
"1160",170
"1161",134
"1162",175
"1163",150
"1164",110
"1165",170
"1166",110
"1167",175
"1168",330
"1169",175
"1170",150
"1171",134
"1172",380
"1173",134
"1174",165
"1175",175
"1176",150
"1177",150
"1178",380
"1179",175
"1180",150
"1181",175
"1182",134
"1183",175
"1184",170
"1185",330
"1186",150
"1187",165
"1188",170
"1189",150
"1190",330
"1191",165
"1192",270
"1193",175
"1194",150
"1195",150
"1196",175
"1197",175
"1198",175
"1199",110
"1200",134
"1201",90
"1202",175
"1203",175
"1204",134
"1205",200
"1206",175
"1207",330
"1208",110
"1209",150
"1210",330
"1211",165
"1212",165
"1213",175
"1214",150
"1215",175
"1216",175
"1217",175
"1218",90
"1219",175
"1220",170
"1221",165
"1222",175
"1223",170
"1224",150
"1225",165
"1226",170
"1227",110
"1228",170
"1229",175
"1230",170
"1231",175
"1232",150
"1233",150
"1234",134
"1235",175
"1236",134
"1237",134
"1238",150
"1239",150
"1240",150
"1241",175
"1242",134
"1243",175
"1244",175
"1245",150
"1246",150
"1247",380
"1248",134
"1249",134
"1250",110
"1251",110
"1252",90
"1253",330
"1254",165
"1255",175
"1256",160
"1257",200
"1258",175
"1259",170
"1260",134
"1261",150
"1262",110
"1263",175
"1264",150
"1265",175
"1266",165
"1267",134
"1268",175
"1269",110
"1270",175
"1271",134
"1272",175
"1273",330
"1274",270
"1275",330
"1276",110
"1277",150
"1278",165
"1279",175
"1280",270
"1281",175
"1282",175
"1283",150
